id	Protein_Name	Accession_Number	Identified_Peptide_Count	Protein_Group_Score	Description	Gene_name	Uniprot_ID
297	tr|A0A3Q2U9L1|A0A3Q2U9L1_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051068 PE=4 SV=1	tr|A0A3Q2U9L1|A0A3Q2U9L1_CHICK	10	0.9999822142999619	Uncharacterized protein	ENSGALG00000051068	A0A3Q2U9L1
298	tr|A0A3Q2TX13|A0A3Q2TX13_CHICK Chitin-binding type-2 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=CHIA-M31 PE=4 SV=1	tr|A0A3Q2TX13|A0A3Q2TX13_CHICK	4	0.9999818944997969	Chitin-binding type-2 domain-containing protein	CHIA-M31	A0A3Q2TX13
299	tr|A0A140T8F5|A0A140T8F5_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=PIGR PE=4 SV=1	tr|A0A140T8F5|A0A140T8F5_CHICK	9	0.9999817822008481	Ig-like domain-containing protein	PIGR	A0A140T8F5
300	tr|A0A1D5PFJ6|A0A1D5PFJ6_CHICK Heat shock cognate 71 kDa protein OS=Gallus gallus (Chicken) OX=9031 GN=HSPA8 PE=3 SV=2	tr|A0A1D5PFJ6|A0A1D5PFJ6_CHICK	15	0.9999816946001374	Heat shock cognate 71 kDa protein	HSPA8	A0A1D5PFJ6
301	sp|P00337|LDHB_CHICK L-lactate dehydrogenase B chain OS=Gallus gallus (Chicken) OX=9031 GN=LDHB PE=1 SV=3	sp|P00337|LDHB_CHICK	7	0.9999816021008883	L-lactate dehydrogenase B chain	LDHB	P00337
302	tr|E1C5Y7|E1C5Y7_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=PLA2R1 PE=4 SV=1	tr|E1C5Y7|E1C5Y7_CHICK	9	0.9999812738005858	Uncharacterized protein	PLA2R1	E1C5Y7
303	tr|A0A1D5PFK3|A0A1D5PFK3_CHICK Peptidase S72 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=DAG1 PE=4 SV=1	tr|A0A1D5PFK3|A0A1D5PFK3_CHICK	6	0.9999809774999449	Peptidase S72 domain-containing protein	DAG1	A0A1D5PFK3
304	tr|F1NP60|F1NP60_CHICK Mannose receptor C type 2 OS=Gallus gallus (Chicken) OX=9031 GN=MRC2 PE=4 SV=4	tr|F1NP60|F1NP60_CHICK	4	0.9999803678001626	Mannose receptor C type 2	MRC2	F1NP60
305	Group of sp|P68034|ACTC_CHICK Actin, alpha cardiac muscle 1 OS=Gallus gallus (Chicken) OX=9031 GN=ACTC1 PE=3 SV=1	sp|P68034|ACTC_CHICK (+1)	12	0.9999801985995873	Actin, alpha cardiac muscle 1	ACTC1	P68034
306	tr|A0A3Q3AV59|A0A3Q3AV59_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051440 PE=4 SV=1	tr|A0A3Q3AV59|A0A3Q3AV59_CHICK	3	0.9999801731992193	Ig-like domain-containing protein	ENSGALG00000051440	A0A3Q3AV59
307	tr|A0A3Q2U3K4|A0A3Q2U3K4_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000049747 PE=4 SV=1	tr|A0A3Q2U3K4|A0A3Q2U3K4_CHICK	4	0.9999801671001478	Ig-like domain-containing protein	ENSGALG00000049747	A0A3Q2U3K4
308	sp|P98157|LRP1_CHICK Low-density lipoprotein receptor-related protein 1 OS=Gallus gallus (Chicken) OX=9031 GN=LRP1 PE=2 SV=1	sp|P98157|LRP1_CHICK	21	0.9999799219003762	Low-density lipoprotein receptor-related protein 1	LRP1	P98157
309	Group of sp|Q92179|CHST3_CHICK Carbohydrate sulfotransferase 3 OS=Gallus gallus (Chicken) OX=9031 GN=CHST3 PE=1 SV=1	sp|Q92179|CHST3_CHICK (+1)	6	0.9999793930001033	Carbohydrate sulfotransferase 3	CHST3	Q92179
310	tr|A0A1D5PQ40|A0A1D5PQ40_CHICK Neural cell adhesion molecule 1 OS=Gallus gallus (Chicken) OX=9031 GN=NCAM1 PE=4 SV=1	tr|A0A1D5PQ40|A0A1D5PQ40_CHICK	11	0.9999790514993947	Neural cell adhesion molecule 1	NCAM1	A0A1D5PQ40
311	tr|A0A1D5PVD2|A0A1D5PVD2_CHICK Link domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=CD44 PE=4 SV=2	tr|A0A1D5PVD2|A0A1D5PVD2_CHICK	2	0.9999789272005728	Link domain-containing protein	CD44	A0A1D5PVD2
312	sp|P0CB50|PRDX1_CHICK Peroxiredoxin-1 OS=Gallus gallus (Chicken) OX=9031 GN=PRDX1 PE=1 SV=1	sp|P0CB50|PRDX1_CHICK	5	0.9999786163007229	Peroxiredoxin-1	PRDX1	P0CB50
313	Group of sp|P62801|H4_CHICK Histone H4 OS=Gallus gallus (Chicken) OX=9031 GN=H4-VI PE=1 SV=2	sp|P62801|H4_CHICK (+1)	5	0.9999780288999318	Histone H4	H4-VI	P62801
314	tr|F1NN63|F1NN63_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=PGM1 PE=3 SV=2	tr|F1NN63|F1NN63_CHICK	11	0.9999778842993692	Uncharacterized protein	PGM1	F1NN63
315	tr|A0A3Q2UCU3|A0A3Q2UCU3_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000047114 PE=4 SV=1	tr|A0A3Q2UCU3|A0A3Q2UCU3_CHICK	3	0.9999777794000693	Ig-like domain-containing protein	ENSGALG00000047114	A0A3Q2UCU3
316	tr|Q90864|Q90864_CHICK GLOBIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=HBE1 PE=3 SV=1	tr|Q90864|Q90864_CHICK	8	0.9999775101005071	GLOBIN domain-containing protein	HBE1	Q90864
317	tr|A0A1D5PAE3|A0A1D5PAE3_CHICK Prosaposin OS=Gallus gallus (Chicken) OX=9031 GN=PSAP PE=4 SV=2	tr|A0A1D5PAE3|A0A1D5PAE3_CHICK	10	0.9999772186001792	Prosaposin	PSAP	A0A1D5PAE3
318	Group of sp|P07228|ITB1_CHICK Integrin beta-1 OS=Gallus gallus (Chicken) OX=9031 GN=ITGB1 PE=1 SV=1	sp|P07228|ITB1_CHICK (+1)	8	0.9999771049006085	Integrin beta-1	ITGB1	P07228
319	tr|F1NDN6|F1NDN6_CHICK IF rod domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000019715 PE=3 SV=4	tr|F1NDN6|F1NDN6_CHICK	5	0.9999770792001073	IF rod domain-containing protein	ENSGALG00000019715	F1NDN6
320	sp|P10039|TENA_CHICK Tenascin OS=Gallus gallus (Chicken) OX=9031 GN=TNC PE=1 SV=2	sp|P10039|TENA_CHICK	32	0.9999770447993797	Tenascin	TNC	P10039
321	Group of tr|A0A3Q2TTN1|A0A3Q2TTN1_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000052542 PE=4 SV=1	tr|A0A3Q2TTN1|A0A3Q2TTN1_CHICK (+1)	3	0.9999768979996588	Ig-like domain-containing protein	ENSGALG00000052542	A0A3Q2TTN1
322	tr|A0A3Q2U441|A0A3Q2U441_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=LEAP2 PE=4 SV=1	tr|A0A3Q2U441|A0A3Q2U441_CHICK	2	0.999975748200086	Uncharacterized protein	LEAP2	A0A3Q2U441
323	sp|Q90593|BIP_CHICK Endoplasmic reticulum chaperone BiP OS=Gallus gallus (Chicken) OX=9031 GN=HSPA5 PE=1 SV=1	sp|Q90593|BIP_CHICK	13	0.9999747209003544	Endoplasmic reticulum chaperone BiP	HSPA5	Q90593
324	tr|A0A1D5PUR6|A0A1D5PUR6_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MYH1A PE=3 SV=1	tr|A0A1D5PUR6|A0A1D5PUR6_CHICK	16	0.9999743774005765	Uncharacterized protein	MYH1A	A0A1D5PUR6
325	tr|A0A1D5PA12|A0A1D5PA12_CHICK RAR related orphan receptor C OS=Gallus gallus (Chicken) OX=9031 GN=RORC PE=3 SV=2	tr|A0A1D5PA12|A0A1D5PA12_CHICK	1	0.9999739351005701	RAR related orphan receptor C	RORC	A0A1D5PA12
326	tr|F1NII7|F1NII7_CHICK Fibrillin 1 OS=Gallus gallus (Chicken) OX=9031 GN=FBN1 PE=4 SV=4	tr|F1NII7|F1NII7_CHICK	8	0.9999737434991403	Fibrillin 1	FBN1	F1NII7
327	Group of sp|P0CG62|UBB_CHICK Polyubiquitin-B OS=Gallus gallus (Chicken) OX=9031 GN=UBB PE=2 SV=1	sp|P0CG62|UBB_CHICK (+2)	3	0.9999735028995929	Polyubiquitin-B	UBB	P0CG62
328	Group of sp|Q8AV57|SDK2_CHICK Protein sidekick-2 OS=Gallus gallus (Chicken) OX=9031 GN=SDK2 PE=1 SV=2	sp|Q8AV57|SDK2_CHICK (+1)	16	0.9999723834007455	Protein sidekick-2	SDK2	Q8AV57
329	Group of sp|P68246|TNNI2_CHICK Troponin I, fast skeletal muscle OS=Gallus gallus (Chicken) OX=9031 GN=TNNI2 PE=1 SV=2	sp|P68246|TNNI2_CHICK (+1)	4	0.9999723642995377	Troponin I, fast skeletal muscle	TNNI2	P68246
330	tr|R4GIW4|R4GIW4_CHICK X-prolyl aminopeptidase 2 OS=Gallus gallus (Chicken) OX=9031 GN=XPNPEP2 PE=3 SV=1	tr|R4GIW4|R4GIW4_CHICK	12	0.9999721294007031	X-prolyl aminopeptidase 2	XPNPEP2	R4GIW4
331	sp|Q25C36|OLFL3_CHICK Olfactomedin-like protein 3 OS=Gallus gallus (Chicken) OX=9031 GN=OLFML3 PE=2 SV=1	sp|Q25C36|OLFL3_CHICK	5	0.999971931500113	Olfactomedin-like protein 3	OLFML3	Q25C36
332	tr|Q6JLB2|Q6JLB2_CHICK Proteasome subunit beta OS=Gallus gallus (Chicken) OX=9031 GN=PSMB1 PE=3 SV=1	tr|Q6JLB2|Q6JLB2_CHICK	5	0.9999715904996265	Proteasome subunit beta	PSMB1	Q6JLB2
333	tr|A0A3Q2UBN3|A0A3Q2UBN3_CHICK Fibronectin type-III domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000049529 PE=4 SV=1	tr|A0A3Q2UBN3|A0A3Q2UBN3_CHICK	6	0.9999714347995905	Fibronectin type-III domain-containing protein	ENSGALG00000049529	A0A3Q2UBN3
334	sp|O13035|SAP_CHICK Prosaposin OS=Gallus gallus (Chicken) OX=9031 GN=PSAP PE=1 SV=1	sp|O13035|SAP_CHICK	9	0.9999711311993451	Prosaposin	PSAP	O13035
335	tr|A0A1D5P9J0|A0A1D5P9J0_CHICK LAM_G_DOMAIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=COL15A1 PE=4 SV=1	tr|A0A1D5P9J0|A0A1D5P9J0_CHICK	5	0.9999710524007241	LAM_G_DOMAIN domain-containing protein	COL15A1	A0A1D5P9J0
336	tr|A0A3Q2U8U2|A0A3Q2U8U2_CHICK Protein Z, vitamin K dependent plasma glycoprotein OS=Gallus gallus (Chicken) OX=9031 GN=PROZ PE=3 SV=1	tr|A0A3Q2U8U2|A0A3Q2U8U2_CHICK	2	0.9999705925001763	Protein Z, vitamin K dependent plasma glycoprotein	PROZ	A0A3Q2U8U2
337	tr|Q6IEC5|Q6IEC5_CHICK Putative ISG12(2) protein OS=Gallus gallus (Chicken) OX=9031 GN=ISG12(2) PE=2 SV=1	tr|Q6IEC5|Q6IEC5_CHICK	3	0.9999698976007494	Putative ISG12(2) protein	ISG12(2)	Q6IEC5
338	tr|F1NVN3|F1NVN3_CHICK Ovotransferrin OS=Gallus gallus (Chicken) OX=9031 GN=MELTF PE=3 SV=1	tr|F1NVN3|F1NVN3_CHICK	5	0.9999692652017984	Ovotransferrin	MELTF	F1NVN3
339	tr|F1N9E1|F1N9E1_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MASP1 PE=3 SV=4	tr|F1N9E1|F1N9E1_CHICK	6	0.9999687058007112	Uncharacterized protein	MASP1	F1N9E1
340	sp|P07354|HPLN1_CHICK Hyaluronan and proteoglycan link protein 1 OS=Gallus gallus (Chicken) OX=9031 GN=HAPLN1 PE=1 SV=1	sp|P07354|HPLN1_CHICK	10	0.9999683245005144	Hyaluronan and proteoglycan link protein 1	HAPLN1	P07354
341	tr|A0A1D5PE57|A0A1D5PE57_CHICK Collagen alpha-1(III) chain OS=Gallus gallus (Chicken) OX=9031 GN=COL3A1 PE=4 SV=1	tr|A0A1D5PE57|A0A1D5PE57_CHICK	5	0.999968106400047	Collagen alpha-1(III) chain	COL3A1	A0A1D5PE57
342	tr|A0A1L1RMC0|A0A1L1RMC0_CHICK Proteasome subunit alpha type OS=Gallus gallus (Chicken) OX=9031 GN=PSMA1 PE=3 SV=1	tr|A0A1L1RMC0|A0A1L1RMC0_CHICK	5	0.9999668878990633	Proteasome subunit alpha type	PSMA1	A0A1L1RMC0
343	Group of sp|P05419|CALN_CHICK Neo-calmodulin OS=Gallus gallus (Chicken) OX=9031 GN=- PE=2 SV=1	sp|P05419|CALN_CHICK (+1)	1	0.9999664743991161	Neo-calmodulin	-	P05419
344	tr|A0A3Q3ASJ5|A0A3Q3ASJ5_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051337 PE=4 SV=1	tr|A0A3Q3ASJ5|A0A3Q3ASJ5_CHICK	2	0.9999661447000108	Uncharacterized protein	ENSGALG00000051337	A0A3Q3ASJ5
345	Group of sp|Q5F3W6|1433G_CHICK 14-3-3 protein gamma OS=Gallus gallus (Chicken) OX=9031 GN=YWHAG PE=1 SV=1	sp|Q5F3W6|1433G_CHICK (+1)	5	0.9999657474982087	14-3-3 protein gamma	YWHAG	Q5F3W6
346	tr|A0A3Q2UAZ7|A0A3Q2UAZ7_CHICK LAM_G_DOMAIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000054999 PE=4 SV=1	tr|A0A3Q2UAZ7|A0A3Q2UAZ7_CHICK	1	0.9999655261999578	LAM_G_DOMAIN domain-containing protein	ENSGALG00000054999	A0A3Q2UAZ7
347	sp|O73895|TPSN_CHICK Tapasin OS=Gallus gallus (Chicken) OX=9031 GN=TAPBP PE=2 SV=2	sp|O73895|TPSN_CHICK	1	0.9999649228993803	Tapasin	TAPBP	O73895
348	sp|P19179|PLSI_CHICK Plastin-1 OS=Gallus gallus (Chicken) OX=9031 GN=PLS1 PE=1 SV=1	sp|P19179|PLSI_CHICK	2	0.9999647744007234	Plastin-1	PLS1	P19179
349	tr|A0A3Q3A7M9|A0A3Q3A7M9_CHICK SH3 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=MIA2 PE=4 SV=1	tr|A0A3Q3A7M9|A0A3Q3A7M9_CHICK	2	0.9999647619006282	SH3 domain-containing protein	MIA2	A0A3Q3A7M9
350	tr|A0A1D5P434|A0A1D5P434_CHICK EMI domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=EMILIN3 PE=4 SV=2	tr|A0A1D5P434|A0A1D5P434_CHICK	3	0.9999640442983946	EMI domain-containing protein	EMILIN3	A0A1D5P434
351	tr|A0A1L1RYU0|A0A1L1RYU0_CHICK UPAR/Ly6 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=GPIHBP1 PE=4 SV=1	tr|A0A1L1RYU0|A0A1L1RYU0_CHICK	3	0.9999639701018168	UPAR/Ly6 domain-containing protein	GPIHBP1	A0A1L1RYU0
352	Group of tr|A0A1D5PAQ0|A0A1D5PAQ0_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000038257 PE=4 SV=2	tr|A0A1D5PAQ0|A0A1D5PAQ0_CHICK (+1)	2	0.999963630700222	Ig-like domain-containing protein	ENSGALG00000038257	A0A1D5PAQ0
353	tr|F1NZB0|F1NZB0_CHICK Sema domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000006473 PE=4 SV=4	tr|F1NZB0|F1NZB0_CHICK	5	0.9999634332016285	Sema domain-containing protein	ENSGALG00000006473	F1NZB0
354	tr|A0A1D5PZ80|A0A1D5PZ80_CHICK Tenascin OS=Gallus gallus (Chicken) OX=9031 GN=TNC PE=4 SV=1	tr|A0A1D5PZ80|A0A1D5PZ80_CHICK	33	0.9999632721992384	Tenascin	TNC	A0A1D5PZ80
355	Group of sp|Q98936|PTPRG_CHICK Receptor-type tyrosine-protein phosphatase gamma OS=Gallus gallus (Chicken) OX=9031 GN=PTPRG PE=2 SV=1	sp|Q98936|PTPRG_CHICK (+1)	6	0.9999626159988111	Receptor-type tyrosine-protein phosphatase gamma	PTPRG	Q98936
356	sp|Q90999|TGFR2_CHICK TGF-beta receptor type-2 OS=Gallus gallus (Chicken) OX=9031 GN=TGFBR2 PE=1 SV=1	sp|Q90999|TGFR2_CHICK	2	0.9999624832016707	TGF-beta receptor type-2	TGFBR2	Q90999
357	Group of sp|Q5ZME2|MDHC_CHICK Malate dehydrogenase, cytoplasmic OS=Gallus gallus (Chicken) OX=9031 GN=MDH1 PE=2 SV=1	sp|Q5ZME2|MDHC_CHICK (+1)	6	0.999962167301419	Malate dehydrogenase, cytoplasmic	MDH1	Q5ZME2
358	tr|A0A3Q2TUE3|A0A3Q2TUE3_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000047679 PE=4 SV=1	tr|A0A3Q2TUE3|A0A3Q2TUE3_CHICK	4	0.9999619090995111	Ig-like domain-containing protein	ENSGALG00000047679	A0A3Q2TUE3
359	sp|P20136|GSTM2_CHICK Glutathione S-transferase 2 OS=Gallus gallus (Chicken) OX=9031 GN=GSTM2 PE=1 SV=4	sp|P20136|GSTM2_CHICK	1	0.9999617651992594	Glutathione S-transferase 2	GSTM2	P20136
360	tr|A0A3Q2UBM2|A0A3Q2UBM2_CHICK Collagen type V alpha 2 chain OS=Gallus gallus (Chicken) OX=9031 GN=COL5A2 PE=4 SV=1	tr|A0A3Q2UBM2|A0A3Q2UBM2_CHICK	5	0.9999609379992762	Collagen type V alpha 2 chain	COL5A2	A0A3Q2UBM2
361	Group of sp|Q92058|PPBT_CHICK Alkaline phosphatase, tissue-nonspecific isozyme OS=Gallus gallus (Chicken) OX=9031 GN=ALPL PE=2 SV=1	sp|Q92058|PPBT_CHICK (+1)	7	0.9999593139000353	Alkaline phosphatase, tissue-nonspecific isozyme	ALPL	Q92058
362	tr|A0A1L1RWR0|A0A1L1RWR0_CHICK Transthyretin OS=Gallus gallus (Chicken) OX=9031 GN=LOC112531842 PE=3 SV=2	tr|A0A1L1RWR0|A0A1L1RWR0_CHICK	4	0.9999592116982967	Transthyretin	LOC112531842	A0A1L1RWR0
363	tr|A0A3Q2TX22|A0A3Q2TX22_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000050813 PE=4 SV=1	tr|A0A3Q2TX22|A0A3Q2TX22_CHICK	3	0.9999589102008031	Ig-like domain-containing protein	ENSGALG00000050813	A0A3Q2TX22
364	tr|A0A1D5PUN8|A0A1D5PUN8_CHICK Hephaestin like 1 OS=Gallus gallus (Chicken) OX=9031 GN=HEPHL1 PE=3 SV=3	tr|A0A1D5PUN8|A0A1D5PUN8_CHICK	2	0.9999572662018181	Hephaestin like 1	HEPHL1	A0A1D5PUN8
365	tr|A0A1L1RRQ8|A0A1L1RRQ8_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SPIA9 PE=3 SV=1	tr|A0A1L1RRQ8|A0A1L1RRQ8_CHICK	3	0.9999569237006654	SERPIN domain-containing protein	SPIA9	A0A1L1RRQ8
366	tr|F1P147|F1P147_CHICK SCY domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC417536 PE=2 SV=1	tr|F1P147|F1P147_CHICK	3	0.9999547828010691	SCY domain-containing protein	LOC417536	F1P147
367	tr|F1P3M9|F1P3M9_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=C4BPA PE=4 SV=2	tr|F1P3M9|F1P3M9_CHICK	1	0.9999536827999691	Uncharacterized protein	C4BPA	F1P3M9
368	sp|A0A1D5PUP4|RECK_CHICK Reversion-inducing cysteine-rich protein with Kazal motifs OS=Gallus gallus (Chicken) OX=9031 GN=RECK PE=1 SV=1	sp|A0A1D5PUP4|RECK_CHICK	5	0.9999513643015234	Reversion-inducing cysteine-rich protein with Kazal motifs	RECK	A0A1D5PUP4
369	tr|A0A3Q3AC33|A0A3Q3AC33_CHICK Alpha-1,4 glucan phosphorylase OS=Gallus gallus (Chicken) OX=9031 GN=LOC107049660 PE=3 SV=1	tr|A0A3Q3AC33|A0A3Q3AC33_CHICK	5	0.9999509484987357	Alpha-1,4 glucan phosphorylase	LOC107049660	A0A3Q3AC33
370	sp|P27043|ANGI_CHICK Angiogenin OS=Gallus gallus (Chicken) OX=9031 GN=ANG PE=1 SV=1	sp|P27043|ANGI_CHICK	2	0.9999505062005483	Angiogenin	ANG	P27043
371	sp|Q6QLR1|GLL9_CHICK Gallinacin-9 OS=Gallus gallus (Chicken) OX=9031 GN=GAL9 PE=2 SV=1	sp|Q6QLR1|GLL9_CHICK	2	0.9999499771001865	Gallinacin-9	GAL9	Q6QLR1
372	tr|F1NW65|F1NW65_CHICK Serum amyloid A protein OS=Gallus gallus (Chicken) OX=9031 GN=HPS5 PE=3 SV=2	tr|F1NW65|F1NW65_CHICK	3	0.9999492511997232	Serum amyloid A protein	HPS5	F1NW65
373	tr|F1NLZ2|F1NLZ2_CHICK Chromogranin A OS=Gallus gallus (Chicken) OX=9031 GN=CHGA PE=4 SV=3	tr|F1NLZ2|F1NLZ2_CHICK	2	0.9999470088987437	Chromogranin A	CHGA	F1NLZ2
374	tr|A0A3Q2TRZ7|A0A3Q2TRZ7_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051856 PE=4 SV=1	tr|A0A3Q2TRZ7|A0A3Q2TRZ7_CHICK	4	0.9999457611011167	Ig-like domain-containing protein	ENSGALG00000051856	A0A3Q2TRZ7
375	tr|F1NX21|F1NX21_CHICK CD109 molecule OS=Gallus gallus (Chicken) OX=9031 GN=CD109 PE=4 SV=2	tr|F1NX21|F1NX21_CHICK	8	0.9999457607991644	CD109 molecule	CD109	F1NX21
376	sp|P10288|CADH2_CHICK Cadherin-2 OS=Gallus gallus (Chicken) OX=9031 GN=CDH2 PE=1 SV=1	sp|P10288|CADH2_CHICK	8	0.9999429560011777	Cadherin-2	CDH2	P10288
377	tr|A0A1L1RZA5|A0A1L1RZA5_CHICK Fibrinogen C-terminal domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ANGPTL3 PE=4 SV=2	tr|A0A1L1RZA5|A0A1L1RZA5_CHICK	5	0.999941394700727	Fibrinogen C-terminal domain-containing protein	ANGPTL3	A0A1L1RZA5
378	tr|F1P236|F1P236_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=NOTCH2 PE=4 SV=2	tr|F1P236|F1P236_CHICK	9	0.999941012400086	Uncharacterized protein	NOTCH2	F1P236
379	sp|Q98TA4|MBL_CHICK Mannose-binding protein OS=Gallus gallus (Chicken) OX=9031 GN=MBL PE=2 SV=2	sp|Q98TA4|MBL_CHICK	4	0.9999410115997307	Mannose-binding protein	MBL	Q98TA4
380	tr|F1NM67|F1NM67_CHICK Integrin beta OS=Gallus gallus (Chicken) OX=9031 GN=ITGB2 PE=3 SV=1	tr|F1NM67|F1NM67_CHICK	3	0.9999407081995741	Integrin beta	ITGB2	F1NM67
381	tr|A0A3Q2U7A2|A0A3Q2U7A2_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000048302 PE=4 SV=1	tr|A0A3Q2U7A2|A0A3Q2U7A2_CHICK	3	0.9999404674999823	Ig-like domain-containing protein	ENSGALG00000048302	A0A3Q2U7A2
382	Group of sp|Q3V6R6|CETP_CHICK Cholesteryl ester transfer protein OS=Gallus gallus (Chicken) OX=9031 GN=CETP PE=2 SV=1	sp|Q3V6R6|CETP_CHICK (+1)	2	0.9999386927011074	Cholesteryl ester transfer protein	CETP	Q3V6R6
383	Group of sp|Q710A0|SPP24_CHICK Secreted phosphoprotein 24 OS=Gallus gallus (Chicken) OX=9031 GN=SPP2 PE=2 SV=1	sp|Q710A0|SPP24_CHICK (+1)	3	0.9999385128976428	Secreted phosphoprotein 24	SPP2	Q710A0
384	sp|P12003|VINC_CHICK Vinculin OS=Gallus gallus (Chicken) OX=9031 GN=VCL PE=1 SV=4	sp|P12003|VINC_CHICK	17	0.9999373574028141	Vinculin	VCL	P12003
385	tr|R4GL09|R4GL09_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MMR1L4 PE=4 SV=1	tr|R4GL09|R4GL09_CHICK	6	0.9999365158000728	Uncharacterized protein	MMR1L4	R4GL09
386	tr|A0A1D5NZY9|A0A1D5NZY9_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MYH7B PE=3 SV=2	tr|A0A1D5NZY9|A0A1D5NZY9_CHICK	5	0.999936333799269	Uncharacterized protein	MYH7B	A0A1D5NZY9
387	Group of sp|P08125|COAA1_CHICK Collagen alpha-1(X) chain OS=Gallus gallus (Chicken) OX=9031 GN=COL10A1 PE=1 SV=4	sp|P08125|COAA1_CHICK (+1)	4	0.999934949199087	Collagen alpha-1(X) chain	COL10A1	P08125
388	tr|A0A1D5PF62|A0A1D5PF62_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=OVSTL PE=4 SV=1	tr|A0A1D5PF62|A0A1D5PF62_CHICK	20	0.999931245802145	Uncharacterized protein	OVSTL	A0A1D5PF62
389	tr|E1C5M1|E1C5M1_CHICK BOC cell adhesion associated, oncogene regulated OS=Gallus gallus (Chicken) OX=9031 GN=BOC PE=4 SV=4	tr|E1C5M1|E1C5M1_CHICK	2	0.9999301540010492	BOC cell adhesion associated, oncogene regulated	BOC	E1C5M1
390	tr|F1NJM9|F1NJM9_CHICK Olfactomedin-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=MYOC PE=4 SV=5	tr|F1NJM9|F1NJM9_CHICK	14	0.9999301486022887	Olfactomedin-like domain-containing protein	MYOC	F1NJM9
391	sp|P14781|CNTN1_CHICK Contactin-1 OS=Gallus gallus (Chicken) OX=9031 GN=CNTN1 PE=1 SV=1	sp|P14781|CNTN1_CHICK	12	0.9999299318005797	Contactin-1	CNTN1	P14781
392	tr|Q5ZLI2|Q5ZLI2_CHICK Proteasome subunit alpha type OS=Gallus gallus (Chicken) OX=9031 GN=PSMA3 PE=2 SV=1	tr|Q5ZLI2|Q5ZLI2_CHICK	2	0.9999279023977579	Proteasome subunit alpha type	PSMA3	Q5ZLI2
393	tr|A0A1D5PMV1|A0A1D5PMV1_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MERTK PE=3 SV=2	tr|A0A1D5PMV1|A0A1D5PMV1_CHICK	1	0.99992741279857	Uncharacterized protein	MERTK	A0A1D5PMV1
394	tr|F1NGV4|F1NGV4_CHICK Tyrosine kinase with immunoglobulin like and EGF like domains 1 OS=Gallus gallus (Chicken) OX=9031 GN=TIE1 PE=3 SV=2	tr|F1NGV4|F1NGV4_CHICK	4	0.999927152901364	Tyrosine kinase with immunoglobulin like and EGF like domains 1	TIE1	F1NGV4
